EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM212,30.0,  26-35 ,No,Non-Travel,829.0,Research & Development,,1.0,Life Sciences,1.0,292.0,3.0,Male,88.0,2.0,3.0,Manufacturing Director,3.0,Single,8474.0,5k-10k,,1.0,Y,No,22.0,4.0,3.0,80.0,0.0,12.0,2.0,,11.0,8.0,5.0,8.0
RM606,38.0,36-45,  No ,Travel_Frequently,471.0,Research & Development,12.0,3.0,Life Sciences,1.0,837.0,1.0,Male,45.0,2.0,2.0,Healthcare Representative,1.0,Divorced,6288.0,5k-10k,4284.0,2.0,y,No,15.0,3.0,3.0,80.0,1.0,13.0,3.0,2.0,4.0,3.0,1.0,2.0
RM589,50.0,46-55,No,Travel_Rarely,,Research & Development,2.0,3.0,Medical,1.0,815.0,3.0,Male,64.0,3.0,4.0,Research Director,3.0,Married,17639.0,15k+,6881.0,,Y,No,16.0,3.0,4.0,80.0,0.0,30.0,3.0,3.0,4.0,3.0,0.0,3.0
RM968,40.0,36-45,No,Travel_Rarely,329.0,Research & Development,,4.0,Life Sciences,1.0,1361.0,2.0,Male,88.0,3.0,1.0,Laboratory Technician,2.0,Married,2387.0,Upto 5k,6762.0,3.0,Y,No,22.0,4.0,3.0,80.0,1.0,7.0,3.0,3.0,4.0,2.0,0.0,3.0
rm1447,34.0,26-35,No,Travel_Rarely,,,,3.0,Marketing,unknown,2035.0,4.0,Female,95.0,,2.0,Sales Executive,3.0,Married,6712.0,5k-10k,8978.0,1.0,Y,No,21.0,4.0,4.0,80.0,2.0,8.0,2.0,3.0,8.0,7.0,1.0,7.0
RM108,25.0,18-25,Yes,Travel_Rarely,240.0,Sales,5.0,3.0,Marketing,1.0,142.0,3.0,  Male ,46.0,2.0,2.0,Sales Executive,3.0,Single,5744.0,5k-10k,26959.0,1.0,Y,Yes,11.0,3.0,4.0,80.0,0.0,6.0,,3.0,6.0,4.0,0.0,3.0
RM1284,28.0,  26-35 ,No,Travel_Rarely,1181.0,Research & Development,1.0,3.0,Life Sciences,1.0,1799.0,3.0,Male,82.0,3.0,,Research Scientist,4.0,Married,2044.0,Upto 5k,5531.0,1.0,Y,No,11.0,3.0,3.0,80.0,1.0,5.0,6.0,,5.0,3.0,0.0,3.0
RM599,28.0,26-35,Yes,travel_rarely,890.0,Research & Development,2.0,4.0,Medical,1.0,828.0,,Male,46.0,3.0,1.0,Research Scientist,3.0,Single,4382.0,Upto 5k,16374.0,6.0,Y,No,17.0,3.0,4.0,80.0,0.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0
RM1465,26.0,26-35,No,Travel_Rarely,1167.0,Sales,5.0,3.0,Other,1.0,2060.0,4.0,Female,30.0,2.0,1.0,Sales Representative,3.0,Single,2966.0,Upto 5k,21378.0,0.0,Y,No,18.0,3.0,4.0,80.0,0.0,5.0,2.0,3.0,4.0,2.0,0.0,5.0
RM898,59.0,55+,,  nan ,326.0,Sales,unknown,3.0,life sciences,1.0,1254.0,3.0,Female,48.0,2.0,2.0,  Sales Executive ,4.0,Single,5171.0,5k-10k,16490.0,5.0,Y,No,17.0,3.0,4.0,80.0,0.0,13.0,2.0,3.0,6.0,1.0,0.0,
RM1073,29.0,26-35,,Travel_Frequently,410.0,Research & Development,2.0,unknown,Life Sciences,1.0,1513.0,4.0,Female,97.0,3.0,1.0,laboratory technician,2.0,Married,3180.0,  Upto 5k ,4668.0,0.0,  Y ,  No ,13.0,,3.0,80.0,3.0,,3.0,3.0,3.0,2.0,0.0,2.0
RM652,unknown,46-55,  No ,Travel_Rarely,249.0,Sales,,2.0,Marketing,1.0,903.0,3.0,female,35.0,3.0,2.0,Sales Executive,4.0,Married,4537.0,Upto 5k,17783.0,0.0,Y,Yes,22.0,4.0,1.0,80.0,1.0,8.0,2.0,3.0,7.0,6.0,7.0,7.0
RM886,25.0,18-25,No,Travel_Rarely,1356.0,sales,unknown,4.0,Life Sciences,1.0,1240.0,3.0,  Male ,57.0,3.0,2.0,Sales Executive,4.0,Single,4950.0,,20623.0,0.0,Y,No,14.0,3.0,2.0,80.0,0.0,5.0,4.0,3.0,4.0,3.0,1.0,1.0
RM675,58.0,55+,No,Travel_Rarely,1272.0,Research & Development,5.0,3.0,Technical Degree,1.0,940.0,3.0,female,37.0,2.0,3.0,Healthcare Representative,2.0,  Divorced ,,10k-15k,9255.0,2.0,Y,Yes,13.0,3.0,4.0,,1.0,24.0,3.0,3.0,6.0,0.0,0.0,4.0
RM1330,29.0,26-35,No,TravelRarely,352.0,  nan ,6.0,1.0,Medical,1.0,1865.0,4.0,Male,87.0,2.0,1.0,,2.0,Married,2804.0,Upto 5k,15434.0,1.0,y,No,11.0,,4.0,80.0,0.0,1.0,3.0,3.0,1.0,0.0,,0.0
