EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
Rm212,30.0,26-35,No,Non-Travel,829.0,Research & Development,0.0,1.0,Life Sciences,292.0,3.0,Male,88.0,2.0,3.0,Manufacturing Director,3.0,Single,8474.0,5K-10K,0.0,1.0,Y,No,22.0,4.0,3.0,80.0,0.0,12.0,2.0,3.0,11.0,8.0,5.0,8.0
Rm606,38.0,36-45,No,Travel_Frequently,471.0,Research & Development,12.0,3.0,Life Sciences,837.0,1.0,Male,45.0,2.0,2.0,Healthcare Representative,1.0,Divorced,6288.0,5K-10K,4284.0,2.0,Y,No,15.0,3.0,3.0,80.0,1.0,13.0,3.0,2.0,4.0,3.0,1.0,2.0
Rm589,50.0,46-55,No,Travel_Rarely,0.0,Research & Development,2.0,3.0,Medical,815.0,3.0,Male,64.0,3.0,4.0,Research Director,3.0,Married,17639.0,15K+,6881.0,0.0,Y,No,16.0,3.0,4.0,80.0,0.0,30.0,3.0,3.0,4.0,3.0,0.0,3.0
Rm968,40.0,36-45,No,Travel_Rarely,329.0,Research & Development,0.0,4.0,Life Sciences,1361.0,2.0,Male,88.0,3.0,1.0,Laboratory Technician,2.0,Married,2387.0,Upto 5K,6762.0,3.0,Y,No,22.0,4.0,3.0,80.0,1.0,7.0,3.0,3.0,4.0,2.0,0.0,3.0
Rm1447,34.0,26-35,No,Travel_Rarely,0.0,Unknown,0.0,3.0,Marketing,2035.0,4.0,Female,95.0,3.0,2.0,Sales Executive,3.0,Married,6712.0,5K-10K,8978.0,1.0,Y,No,21.0,4.0,4.0,80.0,2.0,8.0,2.0,3.0,8.0,7.0,1.0,7.0
Rm108,25.0,18-25,Yes,Travel_Rarely,240.0,Sales,5.0,3.0,Marketing,142.0,3.0,Male,46.0,2.0,2.0,Sales Executive,3.0,Single,5744.0,5K-10K,26959.0,1.0,Y,Yes,11.0,3.0,4.0,80.0,0.0,6.0,0.0,3.0,6.0,4.0,0.0,3.0
Rm1284,28.0,26-35,No,Travel_Rarely,1181.0,Research & Development,1.0,3.0,Life Sciences,1799.0,3.0,Male,82.0,3.0,0.0,Research Scientist,4.0,Married,2044.0,Upto 5K,5531.0,1.0,Y,No,11.0,3.0,3.0,80.0,1.0,5.0,6.0,3.0,5.0,3.0,0.0,3.0
Rm599,28.0,26-35,Yes,Travel_Rarely,890.0,Research & Development,2.0,4.0,Medical,828.0,3.0,Male,46.0,3.0,1.0,Research Scientist,3.0,Single,4382.0,Upto 5K,16374.0,6.0,Y,No,17.0,3.0,4.0,80.0,0.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0
Rm1465,26.0,26-35,No,Travel_Rarely,1167.0,Sales,5.0,3.0,Other,2060.0,4.0,Female,30.0,2.0,1.0,Sales Representative,3.0,Single,2966.0,Upto 5K,21378.0,0.0,Y,No,18.0,3.0,4.0,80.0,0.0,5.0,2.0,3.0,4.0,2.0,0.0,5.0
Rm898,59.0,55+,Unknown,Unknown,326.0,Sales,0.0,3.0,Life Sciences,1254.0,3.0,Female,48.0,2.0,2.0,Sales Executive,4.0,Single,5171.0,5K-10K,16490.0,5.0,Y,No,17.0,3.0,4.0,80.0,0.0,13.0,2.0,3.0,6.0,1.0,0.0,0.0
Rm1073,29.0,26-35,Unknown,Travel_Frequently,410.0,Research & Development,2.0,3.0,Life Sciences,1513.0,4.0,Female,97.0,3.0,1.0,Laboratory Technician,2.0,Married,3180.0,Upto 5K,4668.0,0.0,Y,No,13.0,0.0,3.0,80.0,3.0,0.0,3.0,3.0,3.0,2.0,0.0,2.0
Rm652,35.0,46-55,No,Travel_Rarely,249.0,Sales,0.0,2.0,Marketing,903.0,3.0,Female,35.0,3.0,2.0,Sales Executive,4.0,Married,4537.0,Upto 5K,17783.0,0.0,Y,Yes,22.0,4.0,1.0,80.0,1.0,8.0,2.0,3.0,7.0,6.0,7.0,7.0
Rm886,25.0,18-25,No,Travel_Rarely,1356.0,Sales,0.0,4.0,Life Sciences,1240.0,3.0,Male,57.0,3.0,2.0,Sales Executive,4.0,Single,4950.0,Unknown,20623.0,0.0,Y,No,14.0,3.0,2.0,80.0,0.0,5.0,4.0,3.0,4.0,3.0,1.0,1.0
Rm675,58.0,55+,No,Travel_Rarely,1272.0,Research & Development,5.0,3.0,Technical Degree,940.0,3.0,Female,37.0,2.0,3.0,Healthcare Representative,2.0,Divorced,0.0,10K-15K,9255.0,2.0,Y,Yes,13.0,3.0,4.0,0.0,1.0,24.0,3.0,3.0,6.0,0.0,0.0,4.0
Rm1330,29.0,26-35,No,Travel_Rarely,352.0,Unknown,6.0,1.0,Medical,1865.0,4.0,Male,87.0,2.0,1.0,Unknown,2.0,Married,2804.0,Upto 5K,15434.0,1.0,Y,No,11.0,0.0,4.0,80.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0
Unknown,34.0,26-35,Unknown,Non-Travel,1381.0,Sales,0.0,4.0,Marketing,523.0,3.0,Female,72.0,3.0,0.0,Sales Executive,3.0,Unknown,6538.0,Unknown,12740.0,9.0,Y,No,15.0,3.0,1.0,80.0,1.0,6.0,3.0,3.0,3.0,2.0,1.0,2.0
Rm1313,31.0,26-35,Yes,Travel_Rarely,359.0,Human Resources,18.0,5.0,Human Resources,1842.0,4.0,Male,89.0,4.0,1.0,Human Resources,1.0,Married,2956.0,Upto 5K,21495.0,0.0,Y,No,17.0,3.0,3.0,80.0,0.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0
Rm1218,24.0,Unknown,No,Travel_Rarely,0.0,Research & Development,9.0,3.0,Medical,1707.0,3.0,Male,62.0,4.0,1.0,Research Scientist,3.0,Married,4401.0,Upto 5K,17616.0,1.0,Y,No,16.0,3.0,4.0,80.0,1.0,5.0,1.0,3.0,5.0,3.0,0.0,4.0
Rm100,44.0,36-45,No,Unknown,489.0,Research & Development,23.0,3.0,Medical,132.0,2.0,Male,67.0,3.0,2.0,Laboratory Technician,3.0,Married,2042.0,Upto 5K,25043.0,4.0,Y,No,12.0,3.0,3.0,80.0,1.0,17.0,3.0,4.0,3.0,2.0,1.0,2.0
Rm861,22.0,18-25,Yes,Travel_Frequently,1256.0,Research & Development,3.0,4.0,Life Sciences,1203.0,3.0,Male,48.0,2.0,1.0,Research Scientist,4.0,Married,2853.0,Upto 5K,4223.0,0.0,Y,Yes,11.0,3.0,2.0,80.0,1.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0
Rm081,30.0,26-35,No,Travel_Rarely,852.0,Research & Development,0.0,1.0,Life Sciences,104.0,4.0,Male,55.0,2.0,2.0,Laboratory Technician,4.0,Married,5126.0,5K-10K,15998.0,1.0,Y,Yes,12.0,3.0,3.0,80.0,2.0,10.0,1.0,2.0,10.0,8.0,3.0,0.0
Rm248,34.0,26-35,No,Travel_Rarely,470.0,Research & Development,2.0,4.0,Life Sciences,339.0,4.0,Male,84.0,2.0,2.0,Manufacturing Director,1.0,Married,5957.0,5K-10K,23687.0,0.0,Y,No,13.0,3.0,2.0,80.0,1.0,13.0,3.0,3.0,11.0,9.0,5.0,9.0
Rm1191,32.0,Unknown,No,Travel_Rarely,977.0,Research & Development,2.0,3.0,Medical,1671.0,4.0,Male,45.0,3.0,2.0,Research Scientist,2.0,Divorced,5470.0,5K-10K,0.0,0.0,Y,No,13.0,0.0,3.0,80.0,2.0,10.0,4.0,2.0,9.0,5.0,1.0,6.0
Rm250,45.0,36-45,No,Travel_Frequently,1199.0,Research & Development,7.0,4.0,Life Sciences,341.0,1.0,Male,77.0,4.0,2.0,Manufacturing Director,3.0,Married,6434.0,5K-10K,5118.0,4.0,Y,No,17.0,3.0,4.0,80.0,1.0,9.0,1.0,3.0,3.0,2.0,0.0,0.0
Rm453,45.0,36-45,No,Travel_Rarely,561.0,Sales,2.0,3.0,Other,606.0,4.0,Male,61.0,3.0,2.0,Sales Executive,2.0,Married,4805.0,Upto 5K,16177.0,0.0,Y,No,19.0,3.0,2.0,80.0,1.0,9.0,3.0,4.0,8.0,7.0,3.0,7.0
Rm501,32.0,Unknown,No,Travel_Rarely,646.0,Research & Development,9.0,4.0,Life Sciences,679.0,1.0,Female,92.0,3.0,2.0,Research Scientist,4.0,Married,6322.0,5K-10K,18089.0,1.0,Y,Yes,12.0,3.0,4.0,80.0,1.0,6.0,2.0,2.0,6.0,0.0,0.0,5.0
Rm1332,48.0,46-55,No,Travel_Rarely,1224.0,Unknown,0.0,3.0,Life Sciences,1867.0,4.0,Male,91.0,2.0,5.0,Research Director,2.0,Married,19665.0,15K+,13583.0,4.0,Unknown,No,12.0,3.0,3.0,80.0,0.0,29.0,3.0,3.0,22.0,10.0,12.0,9.0
Rm1180,34.0,26-35,No,Travel_Rarely,1130.0,Research & Development,3.0,3.0,Life Sciences,1658.0,4.0,Female,66.0,3.0,2.0,Research Scientist,2.0,Divorced,5433.0,5K-10K,19332.0,1.0,Y,No,12.0,3.0,3.0,80.0,1.0,11.0,2.0,3.0,11.0,8.0,7.0,9.0
Rm171,27.0,26-35,No,Travel_Rarely,1157.0,Research & Development,17.0,3.0,Technical Degree,233.0,3.0,Male,51.0,3.0,1.0,Research Scientist,2.0,Married,3058.0,Upto 5K,13364.0,0.0,Y,Yes,16.0,3.0,3.0,80.0,1.0,6.0,3.0,2.0,5.0,2.0,1.0,1.0
